"sample_id","parcel_id","input","reference_lon","reference_lat","geocoder","matched_address","census_candidates","geocode_lon","geocode_lat","distance_m","same_cell","in_reference_disk","reference_zcta","geocode_zcta","reference_council_district","geocode_council_district","flag","reviewer_verdict","reviewer_notes"
107,"042002  00039","1577 BOXWOOD ST, Memphis, TN",-89.981496,35.179479,"census","1577 BOXWOOD ST, MEMPHIS, TN, 38108",1,-89.981379,35.179437,11.6,TRUE,TRUE,"38108","38108","7","7","","",""
108,"042005  00003","1633 HARRISON ST, Memphis, TN",-89.977802,35.18073,"census","1633 HARRISON ST, MEMPHIS, TN, 38108",1,-89.977651,35.180765,14.2,TRUE,TRUE,"38108","38108","7","7","","",""
109,"060004  00008","1223 ELLISTON RD, Memphis, TN",-90.022203,35.087382,"census","1223 ELLISTON RD, MEMPHIS, TN, 38106",1,-90.022275,35.087517,16.4,TRUE,TRUE,"38106","38106","6","6","","",""
110,"018020  00001","571 EAST ST, Memphis, TN",-90.031635,35.131356,"census","571 EAST ST, MEMPHIS, TN, 38104",1,-90.031156,35.131057,54.8,FALSE,TRUE,"38104","38104","6","6","","",""
111,"017051  00006C","1895 JEFFERSON AV, Memphis, TN",-89.997827,35.139672,"census","1895 JEFFERSON AVE, MEMPHIS, TN, 38104",1,-89.997857,35.139909,26.4,TRUE,TRUE,"38104","38104","5","5","","",""
112,"088042  00115","5885 TWINE RD, Memphis, TN",-89.867142,35.184105,"census","5885 TWINE RD, MEMPHIS, TN, 38134",1,-89.866143,35.184089,91,TRUE,TRUE,"38134","38134","1","1","","",""
113,"069017  00011","3105 HARVESTER LN E, Memphis, TN",-90.042998,35.210304,"census","3105 HARVESTER LN E, MEMPHIS, TN, 38127",1,-90.04287,35.212778,274.8,FALSE,TRUE,"38127","38127","7","7","over 250 m","",""
114,"049078  00018","908 ALICE AV, Memphis, TN",-90.032427,35.094294,"census","908 ALICE AVE, MEMPHIS, TN, 38106",1,-90.032884,35.094182,43.5,FALSE,TRUE,"38106","38106","6","6","","",""
115,"063060  00009","4961 BYRON RD, Memphis, TN",-89.895456,35.151606,"census","4961 BYRON RD, MEMPHIS, TN, 38122",1,-89.895042,35.15173,40.1,TRUE,TRUE,"38122","38122","2","2","","",""
116,"067095  00010","5603 GLENWILD AV, Memphis, TN",-89.875179,35.091135,"census","5603 GLENWILD AVE, MEMPHIS, TN, 38119",1,-89.87537,35.091287,24.2,TRUE,TRUE,"38119","38119","2","2","","",""
